# ABLATION ANALYSIS - METHODOLOGY
# This file contains ablation analysis results showing how different parameter values affect performance
# 
# Analysis Details:
# - Parameter analyzed: feature_layer
# - Method: Statistical analysis across multiple seeds and prompts
# - Metrics calculated: Mean, standard deviation, min, max, coefficient of variation
# - Grouping: By feature_layer parameter value
# - Total parameter combinations: 12
# 
# Each row represents the aggregated performance for a specific parameter value
# Statistics are calculated across all seeds and prompts for that parameter value
#
# Generated by: ablation_analysis.py
# Date: 2025-09-18 16:50:41
#
experiment,feature_layer,n_runs,prompt,fidelity_mean_mean,fidelity_mean_std,fidelity_mean_min,fidelity_mean_max,fidelity_mean_cv,fidelity_std_mean,fidelity_std_std,diversity_mean_mean,diversity_mean_std,diversity_mean_min,diversity_mean_max,diversity_mean_cv,diversity_std_mean,diversity_std_std,cross_consistency_mean_mean,cross_consistency_mean_std,cross_consistency_mean_min,cross_consistency_mean_max,cross_consistency_mean_cv,cross_consistency_std_mean,cross_consistency_std_std
exp_feature_layer,early,1,a bulldozer made out of toy bricks,0.3541901409626007,,0.3541901409626007,0.3541901409626007,,0.0361413247883319,,0.3350040912628174,,0.3350040912628174,0.3350040912628174,,0.0130757708102464,,0.8345127105712891,,0.8345127105712891,0.8345127105712891,,0.0316486805677413,
exp_feature_layer,early,1,a photo of a tulip,0.3729167580604553,,0.3729167580604553,0.3729167580604553,,0.0179224107414484,,0.3192470669746399,,0.3192470669746399,0.3192470669746399,,0.0109894778579473,,0.8821393251419067,,0.8821393251419067,0.8821393251419067,,0.0214666575193405,
exp_feature_layer,early,1,a photo of an ice cream,0.4054357409477234,,0.4054357409477234,0.4054357409477234,,0.0050460621714591,,0.3696088194847107,,0.3696088194847107,0.3696088194847107,,0.0153214000165462,,0.8409395813941956,,0.8409395813941956,0.8409395813941956,,0.0212480574846267,
exp_feature_layer,early,1,a small saguaro cactus planted in a clay pot,0.3654561042785644,,0.3654561042785644,0.3654561042785644,,0.0158959049731493,,0.3054943978786468,,0.3054943978786468,0.3054943978786468,,0.0054296529851853,,0.8844583034515381,,0.8844583034515381,0.8844583034515381,,0.025438280776143,
exp_feature_layer,last,1,a bulldozer made out of toy bricks,0.3810495734214782,,0.3810495734214782,0.3810495734214782,,0.0197049397975206,,0.2743111848831177,,0.2743111848831177,0.2743111848831177,,0.0103553989902138,,0.7948957681655884,,0.7948957681655884,0.7948957681655884,,0.0219880603253841,
exp_feature_layer,last,1,a photo of a tulip,0.3836156725883484,,0.3836156725883484,0.3836156725883484,,0.0050522848032414,,0.2439996153116226,,0.2439996153116226,0.2439996153116226,,0.0196145214140415,,0.8422942757606506,,0.8422942757606506,0.8422942757606506,,0.024886917322874,
exp_feature_layer,last,1,a photo of an ice cream,0.4138814806938171,,0.4138814806938171,0.4138814806938171,,0.0048809172585606,,0.3349501192569732,,0.3349501192569732,0.3349501192569732,,0.0089811719954013,,0.8155335783958435,,0.8155335783958435,0.8155335783958435,,0.0204358827322721,
exp_feature_layer,last,1,a small saguaro cactus planted in a clay pot,0.3787648975849151,,0.3787648975849151,0.3787648975849151,,0.0085327848792076,,0.2309111356735229,,0.2309111356735229,0.2309111356735229,,0.0167007390409708,,0.8792479634284973,,0.8792479634284973,0.8792479634284973,,0.0167982745915651,
exp_feature_layer,mid,1,a bulldozer made out of toy bricks,0.3859689235687256,,0.3859689235687256,0.3859689235687256,,0.0164336264133453,,0.2493323236703872,,0.2493323236703872,0.2493323236703872,,0.0108049614354968,,0.819750189781189,,0.819750189781189,0.819750189781189,,0.0270379055291414,
exp_feature_layer,mid,1,a photo of a tulip,0.3818284273147583,,0.3818284273147583,0.3818284273147583,,0.0186963938176631,,0.2495984137058258,,0.2495984137058258,0.2495984137058258,,0.012914135120809,,0.8712223768234253,,0.8712223768234253,0.8712223768234253,,0.0170196164399385,
exp_feature_layer,mid,1,a photo of an ice cream,0.4115380048751831,,0.4115380048751831,0.4115380048751831,,0.0074987639673054,,0.3147904872894287,,0.3147904872894287,0.3147904872894287,,0.019344363361597,,0.810274600982666,,0.810274600982666,0.810274600982666,,0.0221634767949581,
exp_feature_layer,mid,1,a small saguaro cactus planted in a clay pot,0.3797330260276794,,0.3797330260276794,0.3797330260276794,,0.0088643543422222,,0.217173546552658,,0.217173546552658,0.217173546552658,,0.0074565690010786,,0.8944730162620544,,0.8944730162620544,0.8944730162620544,,0.0128826964646577,
