# ABLATION ANALYSIS - METHODOLOGY
# This file contains ablation analysis results showing how different parameter values affect performance
# 
# Analysis Details:
# - Parameter analyzed: num_particles
# - Method: Statistical analysis across multiple seeds and prompts
# - Metrics calculated: Mean, standard deviation, min, max, coefficient of variation
# - Grouping: By num_particles parameter value
# - Total parameter combinations: 12
# 
# Each row represents the aggregated performance for a specific parameter value
# Statistics are calculated across all seeds and prompts for that parameter value
#
# Generated by: ablation_analysis.py
# Date: 2025-09-18 16:50:41
#
experiment,num_particles,n_runs,prompt,fidelity_mean_mean,fidelity_mean_std,fidelity_mean_min,fidelity_mean_max,fidelity_mean_cv,fidelity_std_mean,fidelity_std_std,diversity_mean_mean,diversity_mean_std,diversity_mean_min,diversity_mean_max,diversity_mean_cv,diversity_std_mean,diversity_std_std,cross_consistency_mean_mean,cross_consistency_mean_std,cross_consistency_mean_min,cross_consistency_mean_max,cross_consistency_mean_cv,cross_consistency_std_mean,cross_consistency_std_std
exp_num_particles,2,1,a bulldozer made out of toy bricks,0.3931836485862732,,0.3931836485862732,0.3931836485862732,,0.0003263056278228,,0.2528856098651886,,0.2528856098651886,0.2528856098651886,,0.0184449832886457,,0.8107523918151855,,0.8107523918151855,0.8107523918151855,,0.0067732632160186,
exp_num_particles,2,1,a photo of a tulip,0.3893221020698547,,0.3893221020698547,0.3893221020698547,,0.0105676054954528,,0.1941594034433365,,0.1941594034433365,0.1941594034433365,,0.0205166768282651,,0.8713681697845459,,0.8713681697845459,0.8713681697845459,,0.0015954077243804,
exp_num_particles,2,1,a photo of an ice cream,0.4186957776546478,,0.4186957776546478,0.4186957776546478,,0.0060324966907501,,0.2877906262874603,,0.2877906262874603,0.2877906262874603,,0.049389861524105,,0.79225754737854,,0.79225754737854,0.79225754737854,,0.011327713727951,
exp_num_particles,2,1,a small saguaro cactus planted in a clay pot,0.376112699508667,,0.376112699508667,0.376112699508667,,0.0012703388929367,,0.1977722197771072,,0.1977722197771072,0.1977722197771072,,0.0156816616654396,,0.8767060041427612,,0.8767060041427612,0.8767060041427612,,0.0100739896297454,
exp_num_particles,4,1,a bulldozer made out of toy bricks,0.3958741724491119,,0.3958741724491119,0.3958741724491119,,0.010260215960443,,0.2739346623420715,,0.2739346623420715,0.2739346623420715,,0.0166277457028627,,0.7969741821289062,,0.7969741821289062,0.7969741821289062,,0.0086650503799319,
exp_num_particles,4,1,a photo of a tulip,0.3863305151462555,,0.3863305151462555,0.3863305151462555,,0.0079555679112672,,0.2122059464454651,,0.2122059464454651,0.2122059464454651,,0.0275462176650762,,0.8729462027549744,,0.8729462027549744,0.8729462027549744,,0.0142149478197097,
exp_num_particles,4,1,a photo of an ice cream,0.4211826026439667,,0.4211826026439667,0.4211826026439667,,0.0036692314315587,,0.2998872995376587,,0.2998872995376587,0.2998872995376587,,0.0241477154195308,,0.8294037580490112,,0.8294037580490112,0.8294037580490112,,0.0082714585587382,
exp_num_particles,4,1,a small saguaro cactus planted in a clay pot,0.3791806101799011,,0.3791806101799011,0.3791806101799011,,0.005560943391174,,0.2577108740806579,,0.2577108740806579,0.2577108740806579,,0.0259043332189321,,0.875962495803833,,0.875962495803833,0.875962495803833,,0.0211760606616735,
exp_num_particles,8,1,a bulldozer made out of toy bricks,0.3715199828147888,,0.3715199828147888,0.3715199828147888,,0.0164974350482225,,0.2692305743694305,,0.2692305743694305,0.2692305743694305,,0.0130998501554131,,0.8137381076812744,,0.8137381076812744,0.8137381076812744,,0.0246407482773065,
exp_num_particles,8,1,a photo of a tulip,0.3812072277069092,,0.3812072277069092,0.3812072277069092,,0.0075984862633049,,0.2452042698860168,,0.2452042698860168,0.2452042698860168,,0.0142874177545309,,0.8417792916297913,,0.8417792916297913,0.8417792916297913,,0.0248713623732328,
exp_num_particles,8,1,a photo of an ice cream,0.4150764942169189,,0.4150764942169189,0.4150764942169189,,0.0077953697182238,,0.3048789501190185,,0.3048789501190185,0.3048789501190185,,0.0156660228967666,,0.8098709583282471,,0.8098709583282471,0.8098709583282471,,0.0288731195032596,
exp_num_particles,8,1,a small saguaro cactus planted in a clay pot,0.378053605556488,,0.378053605556488,0.378053605556488,,0.0096932854503393,,0.2413706183433532,,0.2413706183433532,0.2413706183433532,,0.0162738356739282,,0.8655070662498474,,0.8655070662498474,0.8655070662498474,,0.0117407096549868,
