# ABLATION ANALYSIS - METHODOLOGY
# This file contains ablation analysis results showing how different parameter values affect performance
# 
# Analysis Details:
# - Parameter analyzed: lambda_repulsion
# - Method: Statistical analysis across multiple seeds and prompts
# - Metrics calculated: Mean, standard deviation, min, max, coefficient of variation
# - Grouping: By lambda_repulsion parameter value
# - Total parameter combinations: 20
# 
# Each row represents the aggregated performance for a specific parameter value
# Statistics are calculated across all seeds and prompts for that parameter value
#
# Generated by: ablation_analysis.py
# Date: 2025-09-18 16:50:41
#
experiment,lambda_repulsion,n_runs,prompt,fidelity_mean_mean,fidelity_mean_std,fidelity_mean_min,fidelity_mean_max,fidelity_mean_cv,fidelity_std_mean,fidelity_std_std,diversity_mean_mean,diversity_mean_std,diversity_mean_min,diversity_mean_max,diversity_mean_cv,diversity_std_mean,diversity_std_std,cross_consistency_mean_mean,cross_consistency_mean_std,cross_consistency_mean_min,cross_consistency_mean_max,cross_consistency_mean_cv,cross_consistency_std_mean,cross_consistency_std_std
exp3_lambda_fine,600.0,4,a bulldozer made out of toy bricks,0.3825525566935539,0.00562814770564848,0.3758405745029449,0.3894183039665222,0.014712090161658342,0.015111530898138825,0.0029376331704671645,0.26331208646297455,0.005707615155140842,0.2572492361068725,0.2685815691947937,0.02167623686329877,0.014536232221871573,0.001664955178043445,0.8030484616756439,0.004136561814205298,0.7991846799850464,0.8082352876663208,0.0051510737042867035,0.01756745902821415,0.0002868463286756004
exp3_lambda_fine,600.0,4,a photo of a tulip,0.38251036405563354,0.0023364383009029342,0.3790619373321533,0.3839778304100036,0.006108169922849764,0.008230503415688825,0.0020015672039421953,0.2152628563344478,0.01458837857677353,0.2060438990592956,0.236956313252449,0.06777006876703327,0.01240972639061505,0.001153792293991022,0.8612163662910461,0.009548832427403155,0.8471637964248657,0.8680174350738525,0.011087611430942255,0.017899918602779473,0.0018892978083023067
exp3_lambda_fine,600.0,4,a photo of an ice cream,0.4174991175532341,0.0010455010583388315,0.4162989258766174,0.4188182353973388,0.0025041994446982816,0.004191008396446649,0.0009896785774994351,0.2852567285299301,0.008092755559140984,0.2739416062831878,0.2924265563488006,0.02837007772208207,0.017709102248772927,0.006110599841361149,0.7996101379394531,0.004278030419272568,0.7933434247970581,0.8024853467941284,0.005350145297428061,0.023797490401193475,0.008419355407484293
exp3_lambda_fine,600.0,4,a small saguaro cactus planted in a clay pot,0.376450851559639,0.0018211439782271285,0.3742559850215912,0.3786981403827667,0.004837667309509632,0.008733959402888975,0.0036336237917757707,0.23463761433959004,0.008166718126772322,0.2272522151470184,0.2454456984996795,0.03480566468321087,0.010288501391187274,0.0027562393688930643,0.8754262775182724,0.004067413315669107,0.8695231676101685,0.8788264393806458,0.004646208847191258,0.0186740960925817,0.003900432825452804
exp3_lambda_fine,800.0,4,a bulldozer made out of toy bricks,0.3780540227890014,0.004159567492572383,0.3746629357337951,0.3838627934455871,0.01100257434608469,0.01767016854137175,0.0029343031886400264,0.263285368680954,0.0067844046480957775,0.2532861530780792,0.2681282758712768,0.025768255494353114,0.011163921211846124,0.003746767682562058,0.8000734448432922,0.006795874380238012,0.7933598160743713,0.8060511350631714,0.008494063168874574,0.018925428157672224,0.003519896544869318
exp3_lambda_fine,800.0,4,a photo of a tulip,0.3816773146390915,0.003386191585627191,0.3787159621715545,0.3861775398254394,0.008871870178685166,0.00808222149498755,0.004574893817906523,0.23283277451992032,0.0033767357392805474,0.2283274382352829,0.2364443242549896,0.0145028368374816,0.012199342134408625,0.003937405385898008,0.8469396382570267,0.0044373416351311855,0.8415287733078003,0.8522406816482544,0.005239265509243475,0.019519441062584474,0.0035315861411192085
exp3_lambda_fine,800.0,4,a photo of an ice cream,0.4169524386525154,0.0008774721877357751,0.415915697813034,0.4180534780025482,0.0021044898803603183,0.0054013862973078496,0.0015829789549692132,0.3039420247077942,0.002650616323627065,0.3016453087329864,0.3077629208564758,0.008720795770757045,0.019885913003236024,0.0052205678533715,0.8018993735313416,0.008038765508699893,0.7898920774459839,0.8068666458129883,0.010024656177619154,0.028712103608995624,0.010100838565756443
exp3_lambda_fine,800.0,4,a small saguaro cactus planted in a clay pot,0.3805165961384773,0.0014303664848357336,0.3787019848823547,0.382178246974945,0.0037590120887005824,0.00727212149649855,0.00206802385009148,0.23512479662895197,0.012836472320172635,0.2174211144447326,0.2446556389331817,0.054594294197007814,0.013443833100609426,0.003959868065475024,0.8732965886592865,0.0016185633716079269,0.8721051216125488,0.8756881356239319,0.0018533948175531046,0.018124508904293124,0.006066730130660034
exp3_lambda_fine,1000.0,4,a bulldozer made out of toy bricks,0.37442152202129364,0.00613193836029014,0.3685615658760071,0.3820303678512573,0.016377099070553458,0.01373343705199655,0.004997653046804105,0.2702787071466446,0.004240754228887443,0.2641792297363281,0.2739558219909668,0.01569030085150787,0.012005013180896574,0.003036804448100363,0.8058274835348129,0.002668452361140632,0.8026059865951538,0.8080766201019287,0.0033114437217198127,0.021243053022772025,0.003386135607973025
exp3_lambda_fine,1000.0,4,a photo of a tulip,0.38374219834804535,0.001028398208046857,0.3826797306537628,0.3851365745067596,0.0026799195201204413,0.01088884961791335,0.0035789194947708023,0.23655698820948598,0.004636403311826882,0.2315694093704223,0.24106165766716,0.019599519536159536,0.01030263362918045,0.0025842497549506856,0.852649599313736,0.0027696466202364587,0.848547637462616,0.854560136795044,0.0032482823219123517,0.018727934453636377,0.00542137853491823
