# RAW EXPERIMENTAL DATA - METHODOLOGY
# This file contains raw experimental data consolidated from individual runs
# 
# Data Details:
# - Experiment: exp4_guidance_scale
# - Total runs: 64
# - Data source: Individual experiment runs with metrics calculated per run
# - Metrics included: Fidelity, diversity, cross-consistency
# - Statistics: Mean and standard deviation calculated per run
# 
# Each row represents one experimental run with its calculated metrics
# Raw data before any averaging or statistical aggregation
#
# Generated by: consolidate_experiments.py
# Date: 2025-09-18 16:50:41
#
experiment,run_id,last_step,n_samples,prompt,seed,guidance_scale,fidelity_mean,fidelity_std,diversity_mean,diversity_std,cross_consistency_mean,cross_consistency_std,cfg_H,cfg_W,cfg_adaptive_lambda,cfg_anneal_timestep,cfg_batch_size,cfg_best_step,cfg_cosine_beta,cfg_cosine_eps_shift,cfg_densification_interval,cfg_densify_grad_threshold,cfg_density_end_iter,cfg_density_start_iter,cfg_density_thresh,cfg_efficiency_interval,cfg_elevation,cfg_enable_lpips,cfg_eval_H,cfg_eval_W,cfg_eval_radius,cfg_feature_extractor_model_name,cfg_feature_layer,cfg_feature_lr,cfg_force_cuda_rast,cfg_force_same_noise,cfg_force_same_t,cfg_fovy,cfg_geom_lr,cfg_gui,cfg_guidance_scale,cfg_horizontal,cfg_imagedream,cfg_input,cfg_invert_bg_prob,cfg_iters,cfg_iters_refine,cfg_kernel_type,cfg_lambda_repulsion,cfg_lambda_sd,cfg_lambda_zero123,cfg_load,cfg_losses_interval,cfg_max_ver,cfg_mesh,cfg_mesh_format,cfg_metrics,cfg_min_ver,cfg_multi_view_type,cfg_mvdream,cfg_negative_prompt,cfg_num_particles,cfg_num_pts,cfg_num_views,cfg_opacity_lr,cfg_opacity_reset_interval,cfg_outdir,cfg_percent_dense,cfg_position_lr_delay_mult,cfg_position_lr_final,cfg_position_lr_init,cfg_position_lr_max_steps,cfg_prompt,cfg_quantitative_metrics_interval,cfg_radius,cfg_rbf_beta,cfg_ref_size,cfg_rep_ratio_target,cfg_repulsion_type,cfg_rotation_lr,cfg_save_features,cfg_save_features_interval,cfg_save_iid,cfg_save_model,cfg_save_path,cfg_save_rendered_images,cfg_save_rendered_images_interval,cfg_scaling_lr,cfg_schedule_iters,cfg_seed,cfg_sh_degree,cfg_stable_zero123,cfg_texture_lr,cfg_train_geo,cfg_video_snapshot,cfg_visualize,cfg_visualize_fixed_viewpoint,cfg_visualize_fixed_viewpoint_interval,cfg_visualize_graph,cfg_visualize_graph_interval,cfg_visualize_multi_viewpoints,cfg_visualize_multi_viewpoints_interval,cfg_warmup_rgb_loss
exp4_guidance_scale,BULL__S456__guidance_scale_50,1000,1,a bulldozer made out of toy bricks,456,50,0.366451621055603,0.0279265101999044,0.2781701683998108,0.0171417072415351,0.8151366114616394,0.0146425580605864,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S456__guidance_scale_70,1000,1,a bulldozer made out of toy bricks,456,70,0.3774416744709015,0.0153445564210414,0.2484041452407837,0.014998978935182,0.8120348453521729,0.0193214118480682,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S789__guidance_scale_100,1000,1,a bulldozer made out of toy bricks,789,100,0.3793555498123169,0.0079358872026205,0.2325082421302795,0.0100316097959876,0.8224564790725708,0.014281153678894,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S789__guidance_scale_30,1000,1,a bulldozer made out of toy bricks,789,30,0.3503652215003967,0.0216702781617641,0.3052751123905182,0.0127811152487993,0.7984582185745239,0.0171654298901557,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S789__guidance_scale_50,1000,1,a bulldozer made out of toy bricks,789,50,0.3730546832084656,0.0121393902227282,0.2584920525550842,0.0168695505708456,0.8019472360610962,0.0118072303012013,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,BULL__S789__guidance_scale_70,1000,1,a bulldozer made out of toy bricks,789,70,0.3816075921058655,0.0209687259048223,0.2447427362203598,0.0101936552673578,0.8077320456504822,0.0261632371693849,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,CACT__S123__guidance_scale_100,1000,1,a small saguaro cactus planted in a clay pot,123,100,0.3746471703052521,0.0073464098386466,0.2126463055610656,0.0128015838563442,0.8786505460739136,0.0172520652413368,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,CACT__S123__guidance_scale_30,1000,1,a small saguaro cactus planted in a clay pot,123,30,0.3881138563156128,0.0076527763158082,0.2794520258903503,0.0132758170366287,0.8849138021469116,0.0250495579093694,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,CACT__S123__guidance_scale_50,1000,1,a small saguaro cactus planted in a clay pot,123,50,0.383087009191513,0.0061275498010218,0.2265681624412536,0.0183579977601766,0.8664616346359253,0.0163027103990316,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,CACT__S123__guidance_scale_70,1000,1,a small saguaro cactus planted in a clay pot,123,70,0.3825452327728271,0.0070560663007199,0.2136553227901458,0.0109536387026309,0.8751147985458374,0.0082016177475452,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,CACT__S42__guidance_scale_100,1000,1,a small saguaro cactus planted in a clay pot,42,100,0.3747468590736389,0.0109760100021958,0.2256476432085037,0.0122509039938449,0.8784346580505371,0.0179613642394542,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp4_guidance_scale,CACT__S42__guidance_scale_30,1000,1,a small saguaro cactus planted in a clay pot,42,30,0.3853703439235687,0.0084486464038491,0.2591384053230285,0.0103660272434353,0.8847565054893494,0.0152555983513593,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,100,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp4_guidance_scale/CACT__S456__guidance_scale_100,0.01,0.02,2e-05,0.001,300,a small saguaro cactus planted in a clay pot,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,456,0,False,0.2,False,False,True,True,100,False,100,False,500,True
