# ABLATION ANALYSIS - METHODOLOGY
# This file contains ablation analysis results showing how different parameter values affect performance
# 
# Analysis Details:
# - Parameter analyzed: guidance_scale
# - Method: Statistical analysis across multiple seeds and prompts
# - Metrics calculated: Mean, standard deviation, min, max, coefficient of variation
# - Grouping: By guidance_scale parameter value
# - Total parameter combinations: 16
# 
# Each row represents the aggregated performance for a specific parameter value
# Statistics are calculated across all seeds and prompts for that parameter value
#
# Generated by: ablation_analysis.py
# Date: 2025-09-18 16:50:41
#
experiment,guidance_scale,n_runs,prompt,fidelity_mean_mean,fidelity_mean_std,fidelity_mean_min,fidelity_mean_max,fidelity_mean_cv,fidelity_std_mean,fidelity_std_std,diversity_mean_mean,diversity_mean_std,diversity_mean_min,diversity_mean_max,diversity_mean_cv,diversity_std_mean,diversity_std_std,cross_consistency_mean_mean,cross_consistency_mean_std,cross_consistency_mean_min,cross_consistency_mean_max,cross_consistency_mean_cv,cross_consistency_std_mean,cross_consistency_std_std
exp4_guidance_scale,30,4,a bulldozer made out of toy bricks,0.36248973757028574,0.008869710267274478,0.3503652215003967,0.3714968562126159,0.024468858971641,0.018659451277926526,0.003566223511322175,0.31310645490884775,0.0074287458923220345,0.3052751123905182,0.3227719664573669,0.023725942968773058,0.014864174416288699,0.0033367802744953393,0.794434517621994,0.004391495894970542,0.7891316413879395,0.7984582185745239,0.005527826142443741,0.02312465151771897,0.004778053244398315
exp4_guidance_scale,30,4,a photo of a tulip,0.3796178251504898,0.005157668589388784,0.3749325275421142,0.3862704038619995,0.01358647631297123,0.011580086662433974,0.004145711785668971,0.2675134688615799,0.0085712187076117,0.2552980184555053,0.2747604250907898,0.03204032583513291,0.0176039792131632,0.002731489049103116,0.847343310713768,0.0029391861049751634,0.8439456820487976,0.8511242270469666,0.0034687075094737116,0.022021060111001124,0.004657158287702615
exp4_guidance_scale,30,4,a photo of an ice cream,0.40680205076932907,0.003354736253500511,0.4030173122882843,0.4102426767349243,0.008246606051164583,0.012439099838957125,0.007306925714855971,0.35596971958875656,0.00638119062934997,0.3496585190296173,0.3645597100257873,0.017926217535362304,0.023960977327078553,0.014289877985223317,0.8017100840806961,0.006387333294947993,0.794370174407959,0.8092265129089355,0.007967136028072058,0.0266812881454825,0.0064371401910948796
exp4_guidance_scale,30,4,a small saguaro cactus planted in a clay pot,0.38529636710882187,0.003568200670894466,0.3802400827407837,0.3881138563156128,0.009260924772453603,0.009383341995999175,0.00162774349564331,0.2613986358046531,0.012423941846692694,0.2515892684459686,0.2794520258903503,0.04752871723468856,0.013679394964128675,0.006138236420233371,0.8801689743995667,0.005439104641778835,0.8745955228805542,0.8849138021469116,0.006179614142260901,0.0191479490604251,0.006578078550216829
exp4_guidance_scale,50,4,a bulldozer made out of toy bricks,0.3780725970864296,0.010031072268972771,0.366451621055603,0.3876597881317138,0.02653213257526731,0.0170729365199804,0.008225045765429694,0.2692001536488533,0.010497457310284224,0.2584920525550842,0.2782531678676605,0.03899499003992838,0.01663212059065695,0.0011728236701982575,0.807381197810173,0.00840214988701933,0.7984932661056519,0.8151366114616394,0.010406670244251586,0.014583117328584149,0.001961416145120889
exp4_guidance_scale,50,4,a photo of a tulip,0.3767315596342087,0.006016867731105233,0.369703471660614,0.3829957842826843,0.01597123356733737,0.01160437334328885,0.003546919478772301,0.253698892891407,0.008279210303913886,0.2435963451862335,0.2638722658157348,0.0326340024962494,0.013396952301263775,0.006384749526175082,0.8489201813936234,0.004574143666615256,0.8435712456703186,0.8531433343887329,0.00538819051174652,0.027194086927920528,0.00679598239180042
exp4_guidance_scale,50,4,a photo of an ice cream,0.4123448580503464,0.0030466534838504383,0.4086689352989197,0.4161021411418915,0.007388605494574759,0.0050019959453493,0.001275339916498616,0.3260013535618782,0.032423219098650376,0.2983218431472778,0.3701323866844177,0.0994573143466907,0.022464328445494123,0.005350182138346075,0.7965656518936157,0.00433574937988533,0.7923761606216431,0.8022775053977966,0.005443053400028331,0.028944398276507802,0.002727353672831602
exp4_guidance_scale,50,4,a small saguaro cactus planted in a clay pot,0.3814161866903305,0.0029667514795409383,0.378109723329544,0.3846154808998108,0.007778252688446141,0.0078633312368765,0.0017727821076513825,0.23356414586305616,0.008906417563056645,0.2263486683368683,0.2449115216732025,0.03813264030806627,0.01357805565930895,0.003339073437893899,0.8695261776447296,0.003012789386846184,0.8664616346359253,0.873523473739624,0.003464863352368383,0.016846357611939252,0.004066822619745188
exp4_guidance_scale,70,4,a bulldozer made out of toy bricks,0.3809540718793869,0.002378826478242879,0.3774416744709015,0.3826343417167663,0.006244391788509441,0.01647357200272375,0.004346659365087361,0.2500469349324703,0.004794054866933773,0.2447427362203598,0.2561647891998291,0.019172620005234193,0.01142113353125745,0.002385990856930467,0.8119726181030273,0.006808565944874636,0.8065666556358337,0.8215569257736206,0.008385216192118844,0.018129658885300125,0.0065392350042727575
exp4_guidance_scale,70,4,a photo of a tulip,0.3778688907623291,0.0069299673751864735,0.3711225390434265,0.3862455487251282,0.018339608114353253,0.011395725887268724,0.002345507490829283,0.24341117963194842,0.002731665452647815,0.2405329793691635,0.2464564442634582,0.011222432169213628,0.013250597752630652,0.006762074528247161,0.8453387916088104,0.007372825446221798,0.8366258144378662,0.8546282052993774,0.008721740347666018,0.021889454219490227,0.008180603998491867
