# RAW EXPERIMENTAL DATA - METHODOLOGY
# This file contains raw experimental data consolidated from individual runs
# 
# Data Details:
# - Experiment: exp5_rbf_beta
# - Total runs: 64
# - Data source: Individual experiment runs with metrics calculated per run
# - Metrics included: Fidelity, diversity, cross-consistency
# - Statistics: Mean and standard deviation calculated per run
# 
# Each row represents one experimental run with its calculated metrics
# Raw data before any averaging or statistical aggregation
#
# Generated by: consolidate_experiments.py
# Date: 2025-09-18 16:50:41
#
experiment,run_id,last_step,n_samples,prompt,seed,rbf_beta,fidelity_mean,fidelity_std,diversity_mean,diversity_std,cross_consistency_mean,cross_consistency_std,cfg_H,cfg_W,cfg_adaptive_lambda,cfg_anneal_timestep,cfg_batch_size,cfg_best_step,cfg_cosine_beta,cfg_cosine_eps_shift,cfg_densification_interval,cfg_densify_grad_threshold,cfg_density_end_iter,cfg_density_start_iter,cfg_density_thresh,cfg_efficiency_interval,cfg_elevation,cfg_enable_lpips,cfg_eval_H,cfg_eval_W,cfg_eval_radius,cfg_feature_extractor_model_name,cfg_feature_layer,cfg_feature_lr,cfg_force_cuda_rast,cfg_force_same_noise,cfg_force_same_t,cfg_fovy,cfg_geom_lr,cfg_gui,cfg_guidance_scale,cfg_horizontal,cfg_imagedream,cfg_input,cfg_invert_bg_prob,cfg_iters,cfg_iters_refine,cfg_kernel_type,cfg_lambda_repulsion,cfg_lambda_sd,cfg_lambda_zero123,cfg_load,cfg_losses_interval,cfg_max_ver,cfg_mesh,cfg_mesh_format,cfg_metrics,cfg_min_ver,cfg_multi_view_type,cfg_mvdream,cfg_negative_prompt,cfg_num_particles,cfg_num_pts,cfg_num_views,cfg_opacity_lr,cfg_opacity_reset_interval,cfg_outdir,cfg_percent_dense,cfg_position_lr_delay_mult,cfg_position_lr_final,cfg_position_lr_init,cfg_position_lr_max_steps,cfg_prompt,cfg_quantitative_metrics_interval,cfg_radius,cfg_rbf_beta,cfg_ref_size,cfg_rep_ratio_target,cfg_repulsion_type,cfg_rotation_lr,cfg_save_features,cfg_save_features_interval,cfg_save_iid,cfg_save_model,cfg_save_path,cfg_save_rendered_images,cfg_save_rendered_images_interval,cfg_scaling_lr,cfg_schedule_iters,cfg_seed,cfg_sh_degree,cfg_stable_zero123,cfg_texture_lr,cfg_train_geo,cfg_video_snapshot,cfg_visualize,cfg_visualize_fixed_viewpoint,cfg_visualize_fixed_viewpoint_interval,cfg_visualize_graph,cfg_visualize_graph_interval,cfg_visualize_multi_viewpoints,cfg_visualize_multi_viewpoints_interval,cfg_warmup_rgb_loss
exp5_rbf_beta,BULL__S456__rbf_beta_1.5,1000,1,a bulldozer made out of toy bricks,456,1.5,0.3693159520626068,0.0189855005592107,0.2644135355949402,0.0165300238877534,0.804667592048645,0.0136079369112849,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S456__rbf_beta_2.0,1000,1,a bulldozer made out of toy bricks,456,2.0,0.3833662271499634,0.019777376204729,0.2524691820144653,0.0151641685515642,0.8095108866691589,0.0218339674174785,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S789__rbf_beta_0.5,1000,1,a bulldozer made out of toy bricks,789,0.5,0.3764069974422455,0.012413615360856,0.2583065927028656,0.0120533946901559,0.811684250831604,0.0128726372495293,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S789__rbf_beta_1.0,1000,1,a bulldozer made out of toy bricks,789,1.0,0.3740307688713074,0.0105464113876223,0.2626403868198395,0.0111786546185612,0.8004748821258545,0.0187659412622451,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S789__rbf_beta_1.5,1000,1,a bulldozer made out of toy bricks,789,1.5,0.3712266981601715,0.0230099093168973,0.2718468904495239,0.0244911331683397,0.8006892800331116,0.0144980987533926,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,BULL__S789__rbf_beta_2.0,1000,1,a bulldozer made out of toy bricks,789,2.0,0.3864065110683441,0.0160914715379476,0.2582489550113678,0.0152188129723072,0.8064829111099243,0.0088483626022934,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,CACT__S123__rbf_beta_0.5,1000,1,a small saguaro cactus planted in a clay pot,123,0.5,0.3781710863113403,0.0069111157208681,0.226248413324356,0.0139816934242844,0.8778109550476074,0.0130532160401344,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,CACT__S123__rbf_beta_1.0,1000,1,a small saguaro cactus planted in a clay pot,123,1.0,0.381397008895874,0.0074127656407654,0.2383815348148346,0.015293326228857,0.8741487264633179,0.0145226968452334,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,CACT__S123__rbf_beta_1.5,1000,1,a small saguaro cactus planted in a clay pot,123,1.5,0.3762605488300323,0.0091330520808696,0.2205565422773361,0.0108770634979009,0.8755965828895569,0.0125908851623535,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp5_rbf_beta,CACT__S123__rbf_beta_2.0,1000,1,a small saguaro cactus planted in a clay pot,123,2.0,0.3752723932266235,0.0054997722618281,0.2229015380144119,0.0134339239448308,0.8802033066749573,0.017099879682064,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp5_rbf_beta/BULL__S42__rbf_beta_0.5,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,0.5,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,42,0,False,0.2,False,False,True,True,100,False,100,False,500,True
