# ABLATION ANALYSIS - METHODOLOGY
# This file contains ablation analysis results showing how different parameter values affect performance
# 
# Analysis Details:
# - Parameter analyzed: rbf_beta
# - Method: Statistical analysis across multiple seeds and prompts
# - Metrics calculated: Mean, standard deviation, min, max, coefficient of variation
# - Grouping: By rbf_beta parameter value
# - Total parameter combinations: 16
# 
# Each row represents the aggregated performance for a specific parameter value
# Statistics are calculated across all seeds and prompts for that parameter value
#
# Generated by: ablation_analysis.py
# Date: 2025-09-18 16:50:41
#
experiment,rbf_beta,n_runs,prompt,fidelity_mean_mean,fidelity_mean_std,fidelity_mean_min,fidelity_mean_max,fidelity_mean_cv,fidelity_std_mean,fidelity_std_std,diversity_mean_mean,diversity_mean_std,diversity_mean_min,diversity_mean_max,diversity_mean_cv,diversity_std_mean,diversity_std_std,cross_consistency_mean_mean,cross_consistency_mean_std,cross_consistency_mean_min,cross_consistency_mean_max,cross_consistency_mean_cv,cross_consistency_std_mean,cross_consistency_std_std
exp5_rbf_beta,0.5,4,a bulldozer made out of toy bricks,0.37884902209043503,0.006514235712119638,0.3710067272186279,0.3858562707901001,0.01719480672320338,0.0171938191633671,0.004408837251716502,0.2655646800994873,0.007727168658053591,0.2583065927028656,0.2759461104869842,0.029097124870516654,0.0152339136693626,0.0035489506041132546,0.8048921972513199,0.011054759532171353,0.790110170841217,0.8148059248924255,0.01373445980706856,0.017829835647717073,0.003428823130375903
exp5_rbf_beta,0.5,4,a photo of a tulip,0.38163793832063675,0.0016850140561541513,0.3796115219593048,0.3833969235420227,0.004415216326680999,0.008614942664280475,0.0020419866301395577,0.23884428292512888,0.013987995977191029,0.2194724977016449,0.2528157234191894,0.05856533723930868,0.0146339917555451,0.006946591498978257,0.8495308607816696,0.010094556731685186,0.8344550132751465,0.8558816313743591,0.011882507390487252,0.0215981039218604,0.0024320802414460048
exp5_rbf_beta,0.5,4,a photo of an ice cream,0.4167964905500412,0.0028778300673914475,0.4132842719554901,0.4203223884105682,0.006904640832252716,0.00553676125127815,0.0009276968081105621,0.30790988355875015,0.008734785016149596,0.299148678779602,0.3199610710144043,0.028367991683784233,0.017532861558720428,0.003363824404850377,0.7962789833545685,0.004806016324206991,0.7915639877319336,0.8013302087783813,0.006035593585504642,0.030649402178823875,0.0035377602169451585
exp5_rbf_beta,0.5,4,a small saguaro cactus planted in a clay pot,0.37624339014291763,0.0020807082096828944,0.3732914328575134,0.3781710863113403,0.005530218640897661,0.007003162638284225,0.0017820256851037478,0.23511014506220815,0.00664283177548546,0.226248413324356,0.240984246134758,0.02825412648070896,0.010158992605283801,0.0032924155344238276,0.8749479949474335,0.007382252080566367,0.8643871545791626,0.8814555406570435,0.008437360989677895,0.014904014999046877,0.001981858811644571
exp5_rbf_beta,1.0,4,a bulldozer made out of toy bricks,0.3733280599117279,0.007274762877987927,0.363184779882431,0.3803747594356537,0.019486247242460206,0.015020440565422125,0.0030590704720527676,0.2635525166988372,0.006629185290028477,0.2545332312583923,0.2689319252967834,0.025153185304633917,0.012173112481832449,0.0042719321139539235,0.8030273914337158,0.004288999684520815,0.7995862364768982,0.8090956807136536,0.0053410378403945654,0.01880103675648565,0.008452220416180321
exp5_rbf_beta,1.0,4,a photo of a tulip,0.38340677320957184,0.0023722594021015697,0.3801291584968567,0.3855881989002228,0.006187317407678874,0.007926352205686224,0.0023851781886361006,0.23628304526209828,0.011909089815873302,0.2201227992773056,0.2469421625137329,0.050401795874363636,0.012030611513182476,0.00200293570982221,0.8545289486646652,0.008413495958518265,0.8475804328918457,0.8646426200866699,0.009845770551911277,0.0196784266736358,0.010435575104859865
exp5_rbf_beta,1.0,4,a photo of an ice cream,0.41501354426145554,0.0030699384497153356,0.4104785025119781,0.4172302484512329,0.007397200626737369,0.005441059242002625,0.00039792826339046485,0.3160969316959381,0.012788706754074305,0.303434282541275,0.3336996734142303,0.04045818061396463,0.01635903911665075,0.0024741784918543563,0.7992168366909027,0.004819329838911234,0.7933151721954346,0.8050178289413452,0.006030065456159942,0.023112990893423502,0.003207024106720255
exp5_rbf_beta,1.0,4,a small saguaro cactus planted in a clay pot,0.3792965039610863,0.0014840523308828958,0.3779083788394928,0.381397008895874,0.003912644370260664,0.0080942328786477,0.0010522511728375838,0.23427424579858774,0.01192050334762666,0.2208214700222015,0.2485589385032653,0.05088268796679878,0.013596721226349426,0.0021969441764159246,0.873756617307663,0.008986799378884554,0.8626439571380615,0.8846476078033447,0.01028524328270714,0.014037561370059801,0.0028603183782528584
exp5_rbf_beta,1.5,4,a bulldozer made out of toy bricks,0.37259095907211304,0.004051583649789303,0.3693159520626068,0.3785090446472168,0.010874079338584112,0.0179120718967169,0.007754199649811947,0.266960509121418,0.003917204718353569,0.2632478475570678,0.2718468904495239,0.014673348995494911,0.01824769191443915,0.00474075829317294,0.8038680404424667,0.002187449625505775,0.8006892800331116,0.8056824207305908,0.0027211551093656544,0.0139337319415062,0.003077927545369311
exp5_rbf_beta,1.5,4,a photo of a tulip,0.38123588263988495,0.0027841427424095317,0.3785957098007202,0.3849437832832336,0.007302939909881018,0.010773249436169825,0.0011165769206713725,0.23761738464236254,0.00946426379932955,0.2319493740797042,0.2516949772834778,0.03982984584050613,0.012262261006981074,0.002577190802556725,0.8491106778383255,0.006994964553424281,0.8394068479537964,0.8550714254379272,0.008237989152641598,0.0232908762991428,0.0033818202696088637
