metric,baseline_mean,baseline_std,ours_mean,ours_std
inter_particle_diversity_mean,0.13218622654676435,0.03559062265206409,0.2618892677128315,0.031127982109025093
cross_view_consistency_mean,0.8562625870108604,0.04416680573066198,0.8312101239959399,0.03549084919976077
fidelity_mean,0.3972392479578654,0.017450643047590343,0.3909659336010615,0.018283340796325022
