# ABLATION ANALYSIS - METHODOLOGY
# This file contains ablation analysis results showing how different parameter values affect performance
# 
# Analysis Details:
# - Parameter analyzed: repulsion_type
# - Method: Statistical analysis across multiple seeds and prompts
# - Metrics calculated: Mean, standard deviation, min, max, coefficient of variation
# - Grouping: By repulsion_type parameter value
# - Total parameter combinations: 4
# 
# Each row represents the aggregated performance for a specific parameter value
# Statistics are calculated across all seeds and prompts for that parameter value
#
# Generated by: ablation_analysis.py
# Date: 2025-09-18 16:50:41
#
experiment,repulsion_type,n_runs,prompt,fidelity_mean_mean,fidelity_mean_std,fidelity_mean_min,fidelity_mean_max,fidelity_mean_cv,fidelity_std_mean,fidelity_std_std,diversity_mean_mean,diversity_mean_std,diversity_mean_min,diversity_mean_max,diversity_mean_cv,diversity_std_mean,diversity_std_std,cross_consistency_mean_mean,cross_consistency_mean_std,cross_consistency_mean_min,cross_consistency_mean_max,cross_consistency_mean_cv,cross_consistency_std_mean,cross_consistency_std_std
exp0_baseline_indep,WO,4,a bulldozer made out of toy bricks,0.40035389363765717,0.003128868776267571,0.39691162109375,0.4044934511184692,0.007815257515890113,0.009812931530177548,0.003260280516363595,0.2085673883557319,0.010750703197500523,0.1986950039863586,0.2189752459526062,0.051545465867195675,0.0153174749575555,0.0029568431730546295,0.8111268430948257,0.008799398571186707,0.7993022203445435,0.8205971717834473,0.010848363170441893,0.013941578799858651,0.006785208583516016
exp0_baseline_indep,WO,4,a photo of a tulip,0.3947926685214042,0.0005417007509436459,0.3944066762924194,0.3955606818199157,0.0013721145151262527,0.002654616662766725,0.0004565640538255585,0.1193858459591865,0.004035557944228792,0.1134312748908996,0.1221914142370224,0.03380264981837459,0.005991005455143699,0.0022363782681141613,0.8932356387376785,0.0035471264731417843,0.890441358089447,0.8981857299804688,0.0039710982402746346,0.009892275906167876,0.0016380231295617268
exp0_baseline_indep,WO,4,a photo of an ice cream,0.41871262341737747,0.0015762617042097814,0.4170945882797241,0.4207800626754761,0.0037645430685727043,0.00289651035564015,0.0004271391458971604,0.20226912572979927,0.012062614727529904,0.1915369778871536,0.2146755456924438,0.05963646050284371,0.01276160217821595,0.0019872421792689957,0.8147994726896286,0.0037987022980318363,0.8093790411949158,0.8178237676620483,0.004662131512545576,0.014197712996974551,0.0035491306391763565
exp0_baseline_indep,WO,4,a small saguaro cactus planted in a clay pot,0.377670980989933,0.0029301304483767866,0.3738555312156677,0.3804169297218323,0.007758420942738225,0.003697661159094375,0.0013951125576574363,0.13087524659931657,0.007183042311356329,0.1236293539404869,0.1393532156944275,0.05488465158998095,0.007058907183818476,0.002274876132246758,0.8910259008407593,0.002186945744865439,0.8881939053535461,0.8928534388542175,0.0024544132138042993,0.007694395957514599,0.0014054597683693056
