# RAW EXPERIMENTAL DATA - METHODOLOGY
# This file contains raw experimental data consolidated from individual runs
# 
# Data Details:
# - Experiment: exp_gaussian_reproduce
# - Total runs: 48
# - Data source: Individual experiment runs with metrics calculated per run
# - Metrics included: Fidelity, diversity, cross-consistency
# - Statistics: Mean and standard deviation calculated per run
# 
# Each row represents one experimental run with its calculated metrics
# Raw data before any averaging or statistical aggregation
#
# Generated by: consolidate_experiments.py
# Date: 2025-09-18 16:50:41
#
experiment,run_id,last_step,n_samples,prompt,seed,fidelity_mean,fidelity_std,diversity_mean,diversity_std,cross_consistency_mean,cross_consistency_std,cfg_H,cfg_W,cfg_adaptive_lambda,cfg_anneal_timestep,cfg_batch_size,cfg_best_step,cfg_cosine_beta,cfg_cosine_eps_shift,cfg_densification_interval,cfg_densify_grad_threshold,cfg_density_end_iter,cfg_density_start_iter,cfg_density_thresh,cfg_efficiency_interval,cfg_elevation,cfg_enable_lpips,cfg_eval_H,cfg_eval_W,cfg_eval_radius,cfg_feature_extractor_model_name,cfg_feature_layer,cfg_feature_lr,cfg_force_cuda_rast,cfg_force_same_noise,cfg_force_same_t,cfg_fovy,cfg_geom_lr,cfg_gui,cfg_guidance_scale,cfg_horizontal,cfg_imagedream,cfg_input,cfg_invert_bg_prob,cfg_iters,cfg_iters_refine,cfg_kernel_type,cfg_lambda_repulsion,cfg_lambda_sd,cfg_lambda_zero123,cfg_load,cfg_losses_interval,cfg_max_ver,cfg_mesh,cfg_mesh_format,cfg_metrics,cfg_min_ver,cfg_multi_view_type,cfg_mvdream,cfg_negative_prompt,cfg_num_particles,cfg_num_pts,cfg_num_views,cfg_opacity_lr,cfg_opacity_reset_interval,cfg_outdir,cfg_percent_dense,cfg_position_lr_delay_mult,cfg_position_lr_final,cfg_position_lr_init,cfg_position_lr_max_steps,cfg_prompt,cfg_quantitative_metrics_interval,cfg_radius,cfg_rbf_beta,cfg_ref_size,cfg_rep_ratio_target,cfg_repulsion_type,cfg_rotation_lr,cfg_save_features,cfg_save_features_interval,cfg_save_iid,cfg_save_model,cfg_save_path,cfg_save_rendered_images,cfg_save_rendered_images_interval,cfg_scaling_lr,cfg_schedule_iters,cfg_seed,cfg_sh_degree,cfg_stable_zero123,cfg_texture_lr,cfg_train_geo,cfg_video_snapshot,cfg_visualize,cfg_visualize_fixed_viewpoint,cfg_visualize_fixed_viewpoint_interval,cfg_visualize_graph,cfg_visualize_graph_interval,cfg_visualize_multi_viewpoints,cfg_visualize_multi_viewpoints_interval,cfg_warmup_rgb_loss
exp_gaussian_reproduce,WO__BULL__S123,500,1,a bulldozer made out of toy bricks,123,0.3580548167228699,0.0,0.0,0.0,0.8870809674263,0.0,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,False,False,49.1,0.0001,False,100,0,False,,0.5,500,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,1,1000,8,0.05,700,exp/exp_gaussian_reproduce/WO__BULL__S1234,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,True,???,False,100,0.005,500,1234,0,False,0.2,False,True,True,True,100,False,100,False,500,True
exp_gaussian_reproduce,WO__BULL__S1234,500,1,a bulldozer made out of toy bricks,1234,0.3486995100975036,0.0,0.0,0.0,0.8918249607086182,0.0,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,False,False,49.1,0.0001,False,100,0,False,,0.5,500,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,1,1000,8,0.05,700,exp/exp_gaussian_reproduce/WO__BULL__S1234,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,True,???,False,100,0.005,500,1234,0,False,0.2,False,True,True,True,100,False,100,False,500,True
exp_gaussian_reproduce,WO__BULL__S321,500,1,a bulldozer made out of toy bricks,321,0.3598591387271881,0.0,0.0,0.0,0.8836748003959656,0.0,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,False,False,49.1,0.0001,False,100,0,False,,0.5,500,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,1,1000,8,0.05,700,exp/exp_gaussian_reproduce/WO__BULL__S1234,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,True,???,False,100,0.005,500,1234,0,False,0.2,False,True,True,True,100,False,100,False,500,True
exp_gaussian_reproduce,WO__BULL__S42,500,1,a bulldozer made out of toy bricks,42,0.3637352585792541,0.0,0.0,0.0,0.8744173645973206,0.0,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,False,False,49.1,0.0001,False,100,0,False,,0.5,500,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,1,1000,8,0.05,700,exp/exp_gaussian_reproduce/WO__BULL__S1234,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,True,???,False,100,0.005,500,1234,0,False,0.2,False,True,True,True,100,False,100,False,500,True
exp_gaussian_reproduce,WO__BULL__S456,500,1,a bulldozer made out of toy bricks,456,0.3534931242465973,0.0,0.0,0.0,0.9142912030220032,0.0,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,False,False,49.1,0.0001,False,100,0,False,,0.5,500,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,1,1000,8,0.05,700,exp/exp_gaussian_reproduce/WO__BULL__S1234,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,True,???,False,100,0.005,500,1234,0,False,0.2,False,True,True,True,100,False,100,False,500,True
exp_gaussian_reproduce,WO__BULL__S654,500,1,a bulldozer made out of toy bricks,654,0.3606804013252258,0.0,0.0,0.0,0.8949638605117798,0.0,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,False,False,49.1,0.0001,False,100,0,False,,0.5,500,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,1,1000,8,0.05,700,exp/exp_gaussian_reproduce/WO__BULL__S1234,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,True,???,False,100,0.005,500,1234,0,False,0.2,False,True,True,True,100,False,100,False,500,True
exp_gaussian_reproduce,WO__BULL__S789,500,1,a bulldozer made out of toy bricks,789,0.3743725419044494,0.0,0.0,0.0,0.8811989426612854,0.0,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,False,False,49.1,0.0001,False,100,0,False,,0.5,500,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,1,1000,8,0.05,700,exp/exp_gaussian_reproduce/WO__BULL__S1234,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,True,???,False,100,0.005,500,1234,0,False,0.2,False,True,True,True,100,False,100,False,500,True
exp_gaussian_reproduce,WO__BULL__S987,500,1,a bulldozer made out of toy bricks,987,0.3472894430160522,0.0,0.0,0.0,0.8800646066665649,0.0,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,False,False,49.1,0.0001,False,100,0,False,,0.5,500,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,1,1000,8,0.05,700,exp/exp_gaussian_reproduce/WO__BULL__S1234,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,True,???,False,100,0.005,500,1234,0,False,0.2,False,True,True,True,100,False,100,False,500,True
exp_gaussian_reproduce,WO__CACT__S123,500,1,a small saguaro cactus planted in a clay pot,123,0.3952672183513641,0.0,0.0,0.0,0.9076263904571532,0.0,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,False,False,49.1,0.0001,False,100,0,False,,0.5,500,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,1,1000,8,0.05,700,exp/exp_gaussian_reproduce/WO__BULL__S1234,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,True,???,False,100,0.005,500,1234,0,False,0.2,False,True,True,True,100,False,100,False,500,True
exp_gaussian_reproduce,WO__CACT__S1234,500,1,a small saguaro cactus planted in a clay pot,1234,0.3868331909179687,0.0,0.0,0.0,0.8952913284301758,0.0,800,800,False,True,1,-1,1.0,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.5,facebook/dinov2-base,11,0.01,False,False,False,49.1,0.0001,False,100,0,False,,0.5,500,50,none,1000,1,0,,10,30,,obj,True,-30,average_views,False,,1,1000,8,0.05,700,exp/exp_gaussian_reproduce/WO__BULL__S1234,0.01,0.02,2e-05,0.001,300,a bulldozer made out of toy bricks,50,2.5,1.0,256,40.0,wo,0.005,True,250,False,True,???,False,100,0.005,500,1234,0,False,0.2,False,True,True,True,100,False,100,False,500,True
