# ABLATION ANALYSIS - METHODOLOGY
# This file contains ablation analysis results showing how different parameter values affect performance
# 
# Analysis Details:
# - Parameter analyzed: lambda_repulsion
# - Method: Statistical analysis across multiple seeds and prompts
# - Metrics calculated: Mean, standard deviation, min, max, coefficient of variation
# - Grouping: By lambda_repulsion parameter value
# - Total parameter combinations: 20
# 
# Each row represents the aggregated performance for a specific parameter value
# Statistics are calculated across all seeds and prompts for that parameter value
#
# Generated by: ablation_analysis.py
# Date: 2025-09-18 16:50:41
#
experiment,lambda_repulsion,n_runs,prompt,fidelity_mean_mean,fidelity_mean_std,fidelity_mean_min,fidelity_mean_max,fidelity_mean_cv,fidelity_std_mean,fidelity_std_std,diversity_mean_mean,diversity_mean_std,diversity_mean_min,diversity_mean_max,diversity_mean_cv,diversity_std_mean,diversity_std_std,cross_consistency_mean_mean,cross_consistency_mean_std,cross_consistency_mean_min,cross_consistency_mean_max,cross_consistency_mean_cv,cross_consistency_std_mean,cross_consistency_std_std
exp2_lambda_coarse,1.0,1,a bulldozer made out of toy bricks,0.4000613689422607,,0.4000613689422607,0.4000613689422607,,0.0094767687842249,,0.1973904371261596,,0.1973904371261596,0.1973904371261596,,0.012844412587583,,0.8135520219802856,,0.8135520219802856,0.8135520219802856,,0.0091222552582621,
exp2_lambda_coarse,1.0,1,a photo of a tulip,0.3965436816215515,,0.3965436816215515,0.3965436816215515,,0.0019039764301851,,0.1024107560515403,,0.1024107560515403,0.1024107560515403,,0.0092291543260216,,0.8991813659667969,,0.8991813659667969,0.8991813659667969,,0.0031568668782711,
exp2_lambda_coarse,1.0,1,a photo of an ice cream,0.4172805547714233,,0.4172805547714233,0.4172805547714233,,0.0045072045177221,,0.1395619213581085,,0.1395619213581085,0.1395619213581085,,0.0147491637617349,,0.8241271376609802,,0.8241271376609802,0.8241271376609802,,0.0074508260004222,
exp2_lambda_coarse,1.0,1,a small saguaro cactus planted in a clay pot,0.3788762986660003,,0.3788762986660003,0.3788762986660003,,0.0056413291022181,,0.1062039881944656,,0.1062039881944656,0.1062039881944656,,0.0070621655322611,,0.8977637887001038,,0.8977637887001038,0.8977637887001038,,0.0050415606237947,
exp2_lambda_coarse,10.0,1,a bulldozer made out of toy bricks,0.4007790386676788,,0.4007790386676788,0.4007790386676788,,0.0088229719549417,,0.1967073678970337,,0.1967073678970337,0.1967073678970337,,0.0129582583904266,,0.8099192380905151,,0.8099192380905151,0.8099192380905151,,0.0125518180429935,
exp2_lambda_coarse,10.0,1,a photo of a tulip,0.395494282245636,,0.395494282245636,0.395494282245636,,0.0031582287047058,,0.1027930304408073,,0.1027930304408073,0.1027930304408073,,0.008305718190968,,0.8975138664245605,,0.8975138664245605,0.8975138664245605,,0.0051587456837296,
exp2_lambda_coarse,10.0,1,a photo of an ice cream,0.4164797067642212,,0.4164797067642212,0.4164797067642212,,0.0033081492874771,,0.1595325022935867,,0.1595325022935867,0.1595325022935867,,0.0164614915847778,,0.8132866621017456,,0.8132866621017456,0.8132866621017456,,0.0146588813513517,
exp2_lambda_coarse,10.0,1,a small saguaro cactus planted in a clay pot,0.3781095743179321,,0.3781095743179321,0.3781095743179321,,0.0044490010477602,,0.1110172420740127,,0.1110172420740127,0.1110172420740127,,0.0077532459981739,,0.8976598978042603,,0.8976598978042603,0.8976598978042603,,0.0041389428079128,
exp2_lambda_coarse,100.0,1,a bulldozer made out of toy bricks,0.3950522541999817,,0.3950522541999817,0.3950522541999817,,0.0120460828766226,,0.2147043347358703,,0.2147043347358703,0.2147043347358703,,0.0141845224425196,,0.8140188455581665,,0.8140188455581665,0.8140188455581665,,0.0181749537587165,
exp2_lambda_coarse,100.0,1,a photo of a tulip,0.3873201906681061,,0.3873201906681061,0.3873201906681061,,0.007720349356532,,0.1588552594184875,,0.1588552594184875,0.1588552594184875,,0.0109487315639853,,0.8821325302124023,,0.8821325302124023,0.8821325302124023,,0.0185439269989728,
exp2_lambda_coarse,100.0,1,a photo of an ice cream,0.419966459274292,,0.419966459274292,0.419966459274292,,0.0046702367253601,,0.2185672223567962,,0.2185672223567962,0.2185672223567962,,0.0119345802813768,,0.8044391870498657,,0.8044391870498657,0.8044391870498657,,0.0161596927791833,
exp2_lambda_coarse,100.0,1,a small saguaro cactus planted in a clay pot,0.3827255964279175,,0.3827255964279175,0.3827255964279175,,0.0066465088166296,,0.1895779371261596,,0.1895779371261596,0.1895779371261596,,0.0142255118116736,,0.890314519405365,,0.890314519405365,0.890314519405365,,0.0164481401443481,
exp2_lambda_coarse,1000.0,1,a bulldozer made out of toy bricks,0.371188223361969,,0.371188223361969,0.371188223361969,,0.0212572254240512,,0.2699037790298462,,0.2699037790298462,0.2699037790298462,,0.0091085508465766,,0.805266261100769,,0.805266261100769,0.805266261100769,,0.0234437230974435,
exp2_lambda_coarse,1000.0,1,a photo of a tulip,0.3835695385932922,,0.3835695385932922,0.3835695385932922,,0.0044083050452172,,0.2476170659065246,,0.2476170659065246,0.2476170659065246,,0.0097692105919122,,0.851881742477417,,0.851881742477417,0.851881742477417,,0.0262127220630645,
exp2_lambda_coarse,1000.0,1,a photo of an ice cream,0.4163690507411957,,0.4163690507411957,0.4163690507411957,,0.0041477140039205,,0.3373277187347412,,0.3373277187347412,0.3373277187347412,,0.0096785677596926,,0.7854094505310059,,0.7854094505310059,0.7854094505310059,,0.0269363094121217,
