experiment,backprop_ms,densify_ms,max_memory_allocated_mb,memory_allocated_mb,render_ms,sd_guidance_ms,step_gpu_ms,step_wall_ms,total_components_ms
Exp 1,245.63572217451986,139.97456007549914,38678.60071427752,23357.467031346692,43.59765191302268,224.30918048967845,653.7266750477329,653.5171146527201,653.5171146527201
Exp 2,247.2404050232732,131.5808017572185,38459.10253567837,23261.619392742497,38.92373242323278,224.2602638464587,642.2024568916547,642.0052030501831,642.0052030501831
Exp 3,231.40715961978486,147.8904919582419,38501.886165263866,23286.541378089227,40.181888841348474,248.32456736164949,668.051747788533,667.8041077810248,667.8041077810248
Exp 4,249.78467983403044,102.57686364502212,38718.37551842114,23376.154376945873,48.94733193127605,297.5535677819202,699.0662147172607,698.8624431922487,698.8624431922487
Exp 5,247.9445937829165,91.33611171782516,38427.97548358275,23254.417155879557,43.41634332864726,295.11996374383955,678.0146959559752,677.8170125732286,677.8170125732285
