# RAW EXPERIMENTAL DATA - METHODOLOGY
# This file contains raw experimental data consolidated from individual runs
# 
# Data Details:
# - Experiment: exp1_repulsion_kernel
# - Total runs: 64
# - Data source: Individual experiment runs with metrics calculated per run
# - Metrics included: Fidelity, diversity, cross-consistency
# - Statistics: Mean and standard deviation calculated per run
# 
# Each row represents one experimental run with its calculated metrics
# Raw data before any averaging or statistical aggregation
#
# Generated by: consolidate_experiments.py
# Date: 2025-09-18 16:50:40
#
experiment,run_id,last_step,n_samples,prompt,seed,method,kernel,fidelity_mean,fidelity_std,diversity_mean,diversity_std,cross_consistency_mean,cross_consistency_std,cfg_H,cfg_W,cfg_adaptive_lambda,cfg_anneal_timestep,cfg_batch_size,cfg_best_step,cfg_cosine_beta,cfg_cosine_eps_shift,cfg_densification_interval,cfg_densify_grad_threshold,cfg_density_end_iter,cfg_density_start_iter,cfg_density_thresh,cfg_efficiency_interval,cfg_elevation,cfg_enable_lpips,cfg_eval_H,cfg_eval_W,cfg_eval_radius,cfg_feature_extractor_model_name,cfg_feature_layer,cfg_feature_lr,cfg_force_cuda_rast,cfg_force_same_noise,cfg_force_same_t,cfg_fovy,cfg_geom_lr,cfg_gui,cfg_guidance_scale,cfg_horizontal,cfg_imagedream,cfg_input,cfg_invert_bg_prob,cfg_iters,cfg_iters_refine,cfg_kernel_type,cfg_lambda_repulsion,cfg_lambda_sd,cfg_lambda_zero123,cfg_load,cfg_losses_interval,cfg_max_ver,cfg_mesh,cfg_mesh_format,cfg_metrics,cfg_min_ver,cfg_multi_view_type,cfg_mvdream,cfg_negative_prompt,cfg_num_particles,cfg_num_pts,cfg_num_views,cfg_opacity_lr,cfg_opacity_reset_interval,cfg_outdir,cfg_percent_dense,cfg_position_lr_delay_mult,cfg_position_lr_final,cfg_position_lr_init,cfg_position_lr_max_steps,cfg_prompt,cfg_quantitative_metrics_interval,cfg_radius,cfg_rbf_beta,cfg_ref_size,cfg_rep_ratio_target,cfg_repulsion_type,cfg_rotation_lr,cfg_save_features,cfg_save_features_interval,cfg_save_iid,cfg_save_model,cfg_save_path,cfg_save_rendered_images,cfg_save_rendered_images_interval,cfg_scaling_lr,cfg_schedule_iters,cfg_seed,cfg_sh_degree,cfg_stable_zero123,cfg_texture_lr,cfg_train_geo,cfg_video_snapshot,cfg_visualize,cfg_visualize_fixed_viewpoint,cfg_visualize_fixed_viewpoint_interval,cfg_visualize_graph,cfg_visualize_graph_interval,cfg_visualize_multi_viewpoints,cfg_visualize_multi_viewpoints_interval,cfg_warmup_rgb_loss
exp1_repulsion_kernel,RLSD__COS__ICE__S456,1000,1,a photo of an ice cream,456,RLSD,COS,0.4192430377006531,0.0045684231445193,0.2353055775165558,0.0156769175082445,0.810491681098938,0.0162457376718521,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__ICE__S789,1000,1,a photo of an ice cream,789,RLSD,COS,0.4180009365081787,0.0045535857789218,0.2087214291095733,0.0161353033035993,0.7941920757293701,0.0178962182253599,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__TUL__S123,1000,1,a photo of a tulip,123,RLSD,COS,0.3842569589614868,0.0057810181751847,0.171460211277008,0.0225289221853017,0.8735864162445068,0.0175291560590267,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__TUL__S42,1000,1,a photo of a tulip,42,RLSD,COS,0.3822872638702392,0.0116828782483935,0.1623710989952087,0.0070160059258341,0.8798953890800476,0.0112299928441643,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__TUL__S456,1000,1,a photo of a tulip,456,RLSD,COS,0.3820767402648926,0.012087807059288,0.1657360047101974,0.0121374679729342,0.8845275044441223,0.015496720559895,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__COS__TUL__S789,1000,1,a photo of a tulip,789,RLSD,COS,0.3833049833774566,0.0064614457078278,0.1719465404748916,0.0108744306489825,0.8745374083518982,0.0107864597812294,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__RBF__BULL__S123,1000,1,a bulldozer made out of toy bricks,123,RLSD,RBF,0.3737976551055908,0.0206845607608556,0.2657264471054077,0.011592848226428,0.8066912889480591,0.0184215400367975,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__RBF__BULL__S42,1000,1,a bulldozer made out of toy bricks,42,RLSD,RBF,0.3750183582305908,0.0206764061003923,0.2765417098999023,0.0099261589348316,0.8065016865730286,0.0175463277846574,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__RBF__BULL__S456,1000,1,a bulldozer made out of toy bricks,456,RLSD,RBF,0.3790796399116516,0.0139563484117388,0.258735179901123,0.0116098457947373,0.797531008720398,0.0221650581806898,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
exp1_repulsion_kernel,RLSD__RBF__BULL__S789,1000,1,a bulldozer made out of toy bricks,789,RLSD,RBF,0.3787013590335846,0.0087886452674865,0.2709671258926391,0.0152247045189142,0.8123438954353333,0.0260460413992404,800,800,False,True,1,-1,0.5,1e-3,50,0.01,3000,0,1,10,0,False,512,512,4.0,facebook/dinov2-base,last,0.01,False,True,True,49.1,0.0001,False,50,0,False,,0.5,1000,50,rbf,1000,1,0,,10,30,,obj,True,-30,average_views,False,,8,1000,8,0.01,700,exp/exp1_repulsion_kernel/RLSD__RBF__TUL__S123,0.01,0.02,2e-05,0.001,300,a photo of a tulip,50,2.5,1.0,256,40.0,rlsd,0.005,True,250,False,False,???,False,100,0.005,1500,123,0,False,0.2,False,False,True,True,100,False,100,False,500,True
