# ABLATION ANALYSIS - METHODOLOGY
# This file contains ablation analysis results showing how different parameter values affect performance
# 
# Analysis Details:
# - Parameter analyzed: opacity_lr
# - Method: Statistical analysis across multiple seeds and prompts
# - Metrics calculated: Mean, standard deviation, min, max, coefficient of variation
# - Grouping: By opacity_lr parameter value
# - Total parameter combinations: 6
# 
# Each row represents the aggregated performance for a specific parameter value
# Statistics are calculated across all seeds and prompts for that parameter value
#
# Generated by: ablation_analysis.py
# Date: 2025-09-18 16:50:41
#
experiment,opacity_lr,n_runs,prompt,fidelity_mean_mean,fidelity_mean_std,fidelity_mean_min,fidelity_mean_max,fidelity_mean_cv,fidelity_std_mean,fidelity_std_std,diversity_mean_mean,diversity_mean_std,diversity_mean_min,diversity_mean_max,diversity_mean_cv,diversity_std_mean,diversity_std_std,cross_consistency_mean_mean,cross_consistency_mean_std,cross_consistency_mean_min,cross_consistency_mean_max,cross_consistency_mean_cv,cross_consistency_std_mean,cross_consistency_std_std
exp_opacity_lr,0.005,1,a photo of an ice cream,0.4136695861816406,,0.4136695861816406,0.4136695861816406,,0.0047005186788737,,0.3259322345256805,,0.3259322345256805,0.3259322345256805,,0.0097315581515431,,0.8074556589126587,,0.8074556589126587,0.8074556589126587,,0.0369135215878486,
exp_opacity_lr,0.005,1,a small saguaro cactus planted in a clay pot,0.3815398514270782,,0.3815398514270782,0.3815398514270782,,0.0077188811264932,,0.243234246969223,,0.243234246969223,0.243234246969223,,0.0142157413065433,,0.8699513673782349,,0.8699513673782349,0.8699513673782349,,0.0210435446351766,
exp_opacity_lr,0.01,1,a photo of an ice cream,0.4151455760002136,,0.4151455760002136,0.4151455760002136,,0.0052032824605703,,0.3168883025646209,,0.3168883025646209,0.3168883025646209,,0.016925148665905,,0.8108118176460266,,0.8108118176460266,0.8108118176460266,,0.0292738731950521,
exp_opacity_lr,0.01,1,a small saguaro cactus planted in a clay pot,0.3799825310707092,,0.3799825310707092,0.3799825310707092,,0.0099147204309701,,0.2263705730438232,,0.2263705730438232,0.2263705730438232,,0.0156926400959491,,0.8791528940200806,,0.8791528940200806,0.8791528940200806,,0.0230474919080734,
exp_opacity_lr,0.05,1,a photo of an ice cream,0.4124870300292969,,0.4124870300292969,0.4124870300292969,,0.0082850251346826,,0.2668511867523193,,0.2668511867523193,0.2668511867523193,,0.0130444793030619,,0.8122525215148926,,0.8122525215148926,0.8122525215148926,,0.0194592904299497,
exp_opacity_lr,0.05,1,a small saguaro cactus planted in a clay pot,0.3645706474781036,,0.3645706474781036,0.3645706474781036,,0.0100438017398118,,0.2314834892749786,,0.2314834892749786,0.2314834892749786,,0.0099404025822877,,0.8846948146820068,,0.8846948146820068,0.8846948146820068,,0.0082402033731341,
