prompt,step_wall_ms,step_gpu_ms,px_per_s,memory_allocated_mb,max_memory_allocated_mb
bulldozer,1007.3866817401722,1007.5755462646484,2081968.4785513063,26037.623657226562,43316.40478515625
cactus,921.2002953281626,921.4225921630859,2277532.0809434857,25489.951171875,41796.38366699219
hamburger,889.3690471304581,889.6371154785156,2359634.247172636,25141.323974609375,41371.73986816406
icecream,868.0535878520459,868.2603607177734,2417534.0646926146,25385.514770507812,41493.33435058594
sundae,860.8537412947044,861.0457763671875,2437970.284793785,25119.538818359375,40995.634765625
tulip,828.500451054424,828.7150115966797,2537351.0536398464,24589.108276367188,40147.562744140625
