prompt,inter_particle_diversity_mean,cross_view_consistency_mean,fidelity_mean,step_wall_ms,step_gpu_ms,px_per_s,memory_allocated_mb,max_memory_allocated_mb
bulldozer,0.2577860839664936,0.8020615875720978,0.3790188506245613,1215.011045744177,1215.2007446289062,1727214.6850539697,27509.295043945312,46956.103271484375
cactus,0.22825995087623593,0.8773251324892044,0.37646301835775375,1080.245828256011,1080.4129333496094,1942272.7643000484,26724.694946289062,45143.36120605469
hamburger,0.2564640790224075,0.8592304438352585,0.41016474366188044,972.1607458777726,972.3174438476562,2157718.346955478,25982.767211914062,43701.89025878906
icecream,0.2881375774741173,0.8046924471855164,0.4179542362689972,1052.7972772833891,1053.0040588378906,1992258.3317443733,26489.709350585938,44605.380126953125
sundae,0.30799777060747147,0.7931407690048218,0.37745074927806854,1030.9530680533499,1031.1088562011719,2034309.107208576,26381.634887695312,44393.9853515625
tulip,0.2326901443302631,0.8508103638887405,0.38474400341510767,929.241254227236,929.4154205322266,2257723.1841206383,25472.889892578125,42722.9580078125
