metric,baseline_mean,ours_mean
step_wall_ms,895.8939673999945,1046.7348699069892
step_gpu_ms,896.1094004313151,1046.9099095662434
px_per_s,2351998.3682989455,2018582.7365638474
memory_allocated_mb,25293.84344482422,26426.831888834637
max_memory_allocated_mb,41520.176696777344,44587.27970377604
