prompt,step_wall_ms,step_gpu_ms,px_per_s,memory_allocated_mb,max_memory_allocated_mb
bulldozer,1215.011045744177,1215.2007446289062,1727214.6850539697,27509.295043945312,46956.103271484375
cactus,1080.245828256011,1080.4129333496094,1942272.7643000484,26724.694946289062,45143.36120605469
hamburger,972.1607458777726,972.3174438476562,2157718.346955478,25982.767211914062,43701.89025878906
icecream,1052.7972772833891,1053.0040588378906,1992258.3317443733,26489.709350585938,44605.380126953125
sundae,1030.9530680533499,1031.1088562011719,2034309.107208576,26381.634887695312,44393.9853515625
tulip,929.241254227236,929.4154205322266,2257723.1841206383,25472.889892578125,42722.9580078125
