step_wall_ms_mean,step_gpu_ms_mean,render_ms_mean,sd_guidance_ms_mean,backprop_ms_mean,densify_ms_mean,px_per_s_mean,memory_allocated_mb_mean,max_memory_allocated_mb_mean,step_wall_ms_std,step_gpu_ms_std,render_ms_std,sd_guidance_ms_std,backprop_ms_std,densify_ms_std,px_per_s_std,memory_allocated_mb_std,max_memory_allocated_mb_std,prompt,seed
620.7934683603742,621.0235940158957,37.16057084851188,233.6914169574433,146.28387180774814,203.65760874667086,925337.4680969953,23220.13725537593,37395.81164913366,1371.7158040522802,1371.68522405392,28.13542250821572,1243.7209185549743,141.32863274609267,121.13470618873642,752220.2095652696,783.4780424275742,2146.6259281362477,bulldozer,123
720.5892345213359,720.807846220413,35.151927072628595,297.46382290700285,145.88095675600638,242.09252778569808,932102.6314694841,23177.434120706992,37302.07082011912,2061.575004751769,2061.4974424396414,26.58904580099751,1889.740775696054,144.3845826370963,447.4237539455528,767423.1371953168,749.511052817789,2074.354894788623,bulldozer,42
659.9287933596216,660.137843368077,35.94791143210512,232.59753578038203,146.27475203890907,245.1085941082254,928486.5852004834,23174.357407371597,37300.43425607209,1435.8284439841952,1435.8420942928465,26.579668756618652,1234.338947561389,144.1356519505861,472.10684318839657,772099.2892933653,733.7411556024043,2038.5022609584153,bulldozer,456
713.9231317381531,714.1569337750425,36.814881783753336,235.60999010200842,202.1753028136595,239.32295703873186,921582.9508508256,23182.60684657333,37313.00817025062,1973.687373000358,1973.6624814014588,27.38379101234973,1247.2828728214874,711.1396917934568,389.5174653194472,768435.0561591014,740.769801387591,2049.7860808635482,bulldozer,789
624.2041176341769,624.4143574025371,39.40212765321283,233.82174437127932,147.39686514868743,203.58338046099732,933729.1191175288,23145.41914836015,37151.00188060798,1373.156200255878,1373.1772215234591,27.064599243515236,1242.5273814452478,145.91673894476716,111.63520535797402,812895.7843219792,653.9970956693886,1688.0549459020708,cactus,123
682.4999474228756,682.7191316208036,40.082425570650265,233.79742540419102,145.06493578434433,263.55516066369,929914.0374268006,23153.992835318688,37176.74370068843,1495.9457991561085,1495.9180699225735,26.78429478771583,1242.566339321466,142.42729262871515,624.4420895185689,802056.2601772372,669.5532027335404,1737.6131374259026,cactus,42
672.1623138533813,672.4115664038328,40.3475545411284,282.87160525209094,146.72752134594145,202.2156327142205,936516.7115940799,23150.360075997833,37157.295821086016,1871.1569034250865,1871.216900617779,27.754579802916894,1736.557696925735,150.2030547578646,106.3854724813384,817424.8203566518,654.7717641490264,1681.0775813513153,cactus,456
644.2949134386191,644.537633008296,40.89411508089098,236.01859213212634,165.64405429647258,201.73815192912917,912733.6793357218,23127.708597617573,37108.35773611541,1384.1187522639227,1384.1426574029729,27.175246661643335,1248.2300817891305,213.10143367107412,103.12740956489942,806823.3018150409,640.0841504919825,1648.3675675224117,cactus,789
589.7407808507064,590.006223773012,26.59580931251887,232.54629179355825,145.970983001966,184.6276967426633,999842.9148775885,23072.542785040223,37037.25830561572,1378.0206597047525,1378.0689808056977,22.369504981553387,1246.226899692075,142.89525511569073,107.38171926456386,824493.8831572931,580.1040159495348,1597.671993527375,hamburger,123
589.4923625181955,589.7786333442915,26.35228471590741,234.4092921593623,145.65919857877907,183.0715870641467,1004698.5895760022,23060.727510055694,37006.84409808168,1380.9748223622862,1380.9526287984584,21.568080779370444,1250.0448386932544,142.27160991930984,104.21982921567064,839825.6068888997,568.088706544445,1561.3399529229096,hamburger,42
650.8606713551032,651.1391553217821,26.62023969252806,232.50346224164903,153.74932946213107,237.98763995879506,973798.7261240599,23074.75945621906,37046.83597134127,1471.8221237632354,1471.847420997682,22.465308389490854,1247.0739980503267,158.38093627062324,545.4490946697401,806343.5149863509,587.107741878342,1623.0911050570364,hamburger,456
702.4488402207816,702.6390797832224,27.529380224313183,292.0589045768991,145.77803614613885,237.0825192734304,1006797.4429380092,23047.7052134901,36962.20111386139,2049.4119425490053,2049.2445684670383,22.02702835204046,1842.7567839082517,141.86726394880796,588.3496978895123,879608.5311904597,542.9826496545896,1469.8626979976837,hamburger,789
686.7543936909942,687.0511846259088,33.74225766591654,304.11809871876886,163.7619840912521,185.13205321505666,976725.6736879421,23054.041692450493,36966.941841352105,2101.406024949436,2101.5918057640106,24.25758193083646,1958.4378838496987,228.23498948741118,94.92908888510618,867862.0396100385,586.3270730317684,1555.6828008454413,icecream,123
655.6426712523887,655.8597351678527,34.13984910723301,287.6942404638054,145.02472489943156,188.78385678191881,982464.0584243473,23092.58487391708,37055.81249516553,1920.8672512818778,1920.888618373801,25.23054941750576,1790.5647595761118,144.99077261152215,98.03692428265961,863881.8134761059,625.3562139310784,1655.0693908719818,icecream,42
668.9290747433753,669.188801680461,31.29343029185392,235.3584044474629,146.43216863883163,255.84507136522691,971044.5764183588,23023.0743541151,36903.913405012376,1494.450266275016,1494.4506954407755,23.58776082666176,1269.4088925277056,143.89010905297494,547.7260868057571,866948.7399188026,569.514112324274,1524.1328611788995,icecream,456
625.3845534877538,625.6194636278814,33.0833808408294,232.442351952564,145.58108506890215,214.27773562545823,992750.3231117312,23040.211396774444,36932.39135500464,1391.7791312026607,1391.787898504707,24.196145415953236,1237.1134514306389,140.52448083585605,309.13967914211594,891514.9655323132,575.283406580746,1522.0315731674643,icecream,789
