experiment_type,n_runs,prompt,fidelity_mean_mean,fidelity_mean_std,fidelity_mean_min,fidelity_mean_max,fidelity_mean_cv,fidelity_std_mean,fidelity_std_std,diversity_mean_mean,diversity_mean_std,diversity_mean_min,diversity_mean_max,diversity_mean_cv,diversity_std_mean,diversity_std_std,cross_consistency_mean_mean,cross_consistency_mean_std,cross_consistency_mean_min,cross_consistency_mean_max,cross_consistency_mean_cv,cross_consistency_std_mean,cross_consistency_std_std
exp0_baseline,4,a bulldozer made out of toy bricks,0.40132472664117813,0.0029638403955142834,0.398177295923233,0.4052546322345733,0.00738514275040978,0.008552973507903475,0.0011057530663518994,0.18957373499870298,0.0030687305751663603,0.1861426085233688,0.1928245723247528,0.016187530277795896,0.01299570570699865,0.0033440793827208054,0.8158702701330185,0.0028892221185541915,0.8119196891784668,0.818364143371582,0.003541276382191419,0.011336859082803099,0.0025200363068600884
exp0_baseline,4,a photo of a tulip,0.3944261819124222,0.0019640058136864307,0.3923186659812927,0.3970693945884704,0.0049794002116282324,0.0023554680810775,0.00047024393433137157,0.10009061545133582,0.004740191670725362,0.0952420309185981,0.1066073775291442,0.047359002133722,0.008230089792050374,0.001679757519714393,0.8946579396724701,0.003654776003812397,0.8896684646606445,0.8984230756759644,0.004085109897029911,0.0097175015835091,0.005664641366202077
exp0_baseline,4,a photo of an ice cream,0.4187961667776108,0.000873550053192437,0.4181069731712341,0.420074999332428,0.002085859715273635,0.0027198101743124,0.0005623773303670372,0.15093465894460673,0.022408545283097277,0.1264900863170623,0.1807422041893005,0.14846520633356486,0.013453742489218625,0.004913749923398918,0.8107971101999283,0.0040336791853625,0.8052958250045776,0.814615786075592,0.004974955059185973,0.012931496603414375,0.0033405287938582735
exp0_baseline,4,a small saguaro cactus planted in a clay pot,0.3787735626101494,0.003898298260395345,0.3755319714546203,0.3838011920452118,0.01029189638667482,0.003912152838893175,0.0013905982967541276,0.11064593121409409,0.006828218829721212,0.1006177216768264,0.11581352353096,0.06171233550837912,0.007546220556832775,0.0019568836084807584,0.891560822725296,0.0042394266128810264,0.887376070022583,0.8952888250350952,0.004755061578325163,0.00764968711882825,0.0017297892860314253
exp0_baseline_indep,4,a bulldozer made out of toy bricks,0.40035389363765717,0.003128868776267571,0.39691162109375,0.4044934511184692,0.007815257515890113,0.009812931530177548,0.003260280516363595,0.2085673883557319,0.010750703197500523,0.1986950039863586,0.2189752459526062,0.051545465867195675,0.0153174749575555,0.0029568431730546295,0.8111268430948257,0.008799398571186707,0.7993022203445435,0.8205971717834473,0.010848363170441893,0.013941578799858651,0.006785208583516016
exp0_baseline_indep,4,a photo of a tulip,0.3947926685214042,0.0005417007509436459,0.3944066762924194,0.3955606818199157,0.0013721145151262527,0.002654616662766725,0.0004565640538255585,0.1193858459591865,0.004035557944228792,0.1134312748908996,0.1221914142370224,0.03380264981837459,0.005991005455143699,0.0022363782681141613,0.8932356387376785,0.0035471264731417843,0.890441358089447,0.8981857299804688,0.0039710982402746346,0.009892275906167876,0.0016380231295617268
exp0_baseline_indep,4,a photo of an ice cream,0.41871262341737747,0.0015762617042097814,0.4170945882797241,0.4207800626754761,0.0037645430685727043,0.00289651035564015,0.0004271391458971604,0.20226912572979927,0.012062614727529904,0.1915369778871536,0.2146755456924438,0.05963646050284371,0.01276160217821595,0.0019872421792689957,0.8147994726896286,0.0037987022980318363,0.8093790411949158,0.8178237676620483,0.004662131512545576,0.014197712996974551,0.0035491306391763565
exp0_baseline_indep,4,a small saguaro cactus planted in a clay pot,0.377670980989933,0.0029301304483767866,0.3738555312156677,0.3804169297218323,0.007758420942738225,0.003697661159094375,0.0013951125576574363,0.13087524659931657,0.007183042311356329,0.1236293539404869,0.1393532156944275,0.05488465158998095,0.007058907183818476,0.002274876132246758,0.8910259008407593,0.002186945744865439,0.8881939053535461,0.8928534388542175,0.0024544132138042993,0.007694395957514599,0.0014054597683693056
